kategori,jenis_kelamin,kelompok_umur,berat_badan_kg,tinggi_badan_cm,energi_kkal,protein_g,lemak_total_g,omega_3_g,omega_6_g,karbohidrat_g,serat_g,air_ml
bayi_anak,umum,0-5_bulan,6,60,550,9,31,0.5,4.4,59,0,700
bayi_anak,umum,6-11_bulan,9,72,800,15,35,0.5,4.4,105,11,900
bayi_anak,umum,1-3_tahun,13,92,1350,20,45,0.7,7,215,19,1150
bayi_anak,umum,4-6_tahun,19,113,1400,25,50,0.9,10,220,20,1450
bayi_anak,umum,7-9_tahun,27,130,1650,40,55,0.9,10,250,23,1650
remaja_dewasa,laki_laki,10-12_tahun,36,145,2000,50,65,1.2,12,300,28,1850
remaja_dewasa,laki_laki,13-15_tahun,50,163,2400,70,80,1.6,16,350,34,2100
remaja_dewasa,laki_laki,16-18_tahun,60,168,2650,75,85,1.6,16,400,37,2300
remaja_dewasa,laki_laki,19-29_tahun,60,168,2650,65,75,1.6,17,430,37,2500
remaja_dewasa,laki_laki,30-49_tahun,60,166,2550,65,70,1.6,17,415,36,2500
remaja_dewasa,laki_laki,50-64_tahun,60,166,2150,65,60,1.6,14,340,30,2500
remaja_dewasa,laki_laki,65-80_tahun,58,164,1800,64,50,1.6,14,275,25,1800
remaja_dewasa,laki_laki,80+_tahun,58,164,1600,64,45,1.6,14,235,22,1600
remaja_dewasa,perempuan,10-12_tahun,38,147,1900,55,65,1.0,10,280,27,1850
remaja_dewasa,perempuan,13-15_tahun,48,156,2050,65,70,1.1,11,300,29,2100
remaja_dewasa,perempuan,16-18_tahun,52,159,2100,65,70,1.1,11,300,29,2150
remaja_dewasa,perempuan,19-29_tahun,55,159,2250,60,65,1.1,12,360,32,2350
remaja_dewasa,perempuan,30-49_tahun,56,158,2150,60,60,1.1,12,340,30,2350
remaja_dewasa,perempuan,50-64_tahun,56,158,1800,60,50,1.1,11,280,25,2350
remaja_dewasa,perempuan,65-80_tahun,53,157,1550,58,45,1.1,11,230,22,1550
remaja_dewasa,perempuan,80+_tahun,53,157,1400,58,40,1.1,11,200,20,1400
hamil,perempuan,trimester_1,,,,180,1,2.3,0.3,2,25,3,300
hamil,perempuan,trimester_2,,,,300,10,2.3,0.3,2,40,4,300
hamil,perempuan,trimester_3,,,,300,30,2.3,0.3,2,40,4,300
menyusui,perempuan,6_bulan_pertama,,,,330,20,2.2,0.2,2,45,5,800
menyusui,perempuan,6_bulan_kedua,,,,400,15,2.2,0.2,2,55,6,650
