kategori,jenis_kelamin,kelompok_umur,kalsium_mg,fosfor_mg,magnesium_mg,besi_mg,iodium_mcg,seng_mg,selenium_mcg,mangan_mg,fluor_mg,kromium_mcg,kalium_mg,natrium_mg,klor_mg,tembaga_mcg
bayi_anak,umum,0-5_bulan,200,100,30,0.3,90,1.1,7,0.00,0.01,0.2,400,120,180,200
bayi_anak,umum,6-11_bulan,270,275,55,11,120,3,10,0.7,0.5,6,700,370,570,220
bayi_anak,umum,1-3_tahun,650,460,65,7,90,3,18,1.2,0.7,14,2600,800,1200,340
bayi_anak,umum,4-6_tahun,1000,500,95,10,120,5,21,1.5,1.0,16,2700,900,1300,440
bayi_anak,umum,7-9_tahun,1000,500,135,10,120,5,22,1.7,1.4,21,3200,1000,1500,570
remaja_dewasa,laki_laki,10-12_tahun,1200,1250,160,8,120,8,22,1.9,1.8,28,3900,1300,1900,700
remaja_dewasa,laki_laki,13-15_tahun,1200,1250,225,11,150,11,30,2.2,2.5,36,4800,1500,2300,795
remaja_dewasa,laki_laki,16-18_tahun,1200,1250,270,11,150,11,36,2.3,4.0,41,5300,1700,2500,890
remaja_dewasa,laki_laki,19-29_tahun,1000,700,360,9,150,11,30,2.3,4.0,34,4700,1500,2250,900
remaja_dewasa,laki_laki,30-49_tahun,1000,700,360,9,150,11,30,2.3,4.0,34,4700,1500,2250,900
remaja_dewasa,laki_laki,50-64_tahun,1200,700,350,9,150,11,29,2.3,4.0,24,4700,1300,1900,900
remaja_dewasa,laki_laki,65-80_tahun,1200,700,350,9,150,11,29,2.3,4.0,24,4700,1100,1600,900
remaja_dewasa,laki_laki,80+_tahun,1200,700,350,9,150,11,29,2.3,4.0,21,4700,1000,1600,900
remaja_dewasa,perempuan,10-12_tahun,1200,1250,170,8,120,8,19,1.6,1.9,26,4400,1400,2100,700
remaja_dewasa,perempuan,13-15_tahun,1200,1250,220,15,150,9,24,1.6,2.4,27,4800,1500,2300,795
remaja_dewasa,perempuan,16-18_tahun,1200,1250,230,15,150,9,26,1.8,3.0,29,5000,1600,2400,890
remaja_dewasa,perempuan,19-29_tahun,1000,700,330,18,150,8,24,1.8,3.0,30,4700,1500,2250,900
remaja_dewasa,perempuan,30-49_tahun,1000,700,340,18,150,8,25,1.8,3.0,29,4700,1500,2250,900
remaja_dewasa,perempuan,50-64_tahun,1200,700,340,8,150,8,25,1.8,3.0,24,4700,1400,2100,900
remaja_dewasa,perempuan,65-80_tahun,1200,700,320,8,150,8,24,1.8,3.0,21,4700,1200,1900,900
remaja_dewasa,perempuan,80+_tahun,1200,700,320,8,150,8,24,1.8,3.0,19,4700,1000,1600,900
hamil,perempuan,trimester_1,200,0,0,0,70,2,5,0.2,0,5,0,0,0,100
hamil,perempuan,trimester_2,200,0,0,9,70,4,5,,,,,,,
