food_name,kalori,protein,lemak,karbohidrat,gula,natrium,serat,kalsium
apple,52,0.3,0.2,14.0,10.0,1,2.4,6
ayam_goreng,246,16.0,15.0,11.0,0.5,700,1.0,15
bakso,190,14.0,9.0,12.0,2.0,800,1.0,20
banana,89,1.1,0.3,23.0,12.0,1,2.6,5
burger,295,17.0,14.0,24.0,5.0,600,1.5,100
capcay,67,4.0,3.0,6.0,2.0,250,3.0,40
chocolate_chip_cookie,488,5.0,24.0,66.0,35.0,400,2.0,30
donat,452,5.0,25.0,51.0,22.0,326,2.0,24
ikan_goreng,200,20.0,12.0,0.0,0.0,300,0.0,20
kentang_goreng,312,3.4,15.0,41.0,0.3,210,3.8,18
kiwi,61,1.1,0.5,15.0,9.0,3,3.0,34
mie_goreng,380,14.0,14.0,54.0,6.0,1200,2.0,25
nasi_goreng,163,5.5,6.8,20.0,3.0,400,1.0,15
nasi_putih,130,2.7,0.3,28.0,0.1,1,0.4,10
nugget,296,14.0,20.0,15.0,1.0,500,1.0,20
pempek,150,6.0,5.0,20.0,2.0,450,1.0,30
pineapple,50,0.5,0.1,13.0,10.0,1,1.4,13
pizza,266,11.0,10.0,33.0,4.0,640,2.3,188
rendang_sapi,195,22.0,10.0,5.0,1.0,500,0.5,15
sate,250,20.0,15.0,10.0,4.0,450,1.0,25
spaghetti,158,6.0,0.9,31.0,2.0,5,1.8,10
steak,271,25.0,19.0,0.0,0.0,55,0.0,18
strawberry,32,0.7,0.3,8.0,4.9,1,2.0,16
tahu_goreng,271,17.0,20.0,10.0,1.0,15,1.0,120
telur_goreng,196,13.0,15.0,1.5,0.3,150,0.0,56
telur_rebus,155,13.0,11.0,1.1,0.3,124,0.0,50
tempe_goreng,336,20.0,25.0,13.0,1.0,20,1.4,111
terong_balado,120,2.0,8.0,10.0,4.0,350,2.5,20
tumis_kangkung,75,3.0,5.0,5.0,1.0,200,2.0,70
